"_type","additionalrooms","age","amenitiesavailable","amenitiesnot","area","balconies","bathroom","bhk","carpetarea","facing","floor","locality","neworold","opensides","overlooking","ownership","possesiondate","price","pricepersquare","projectname","roadfaceing","status","totalfloor"
"dict","1 rooms( pooja room )","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","1,460 sq ft","","3","3 BHK Apartment ","","East","3, ","Hinjewadi","New","1","Garden View, Pool View, Road View","Freehold","","11000000","₹ 7,534/ sq ft ","Peninsula Ashok Meadows","40 feet","Ready to move","11"
"dict","","8 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens,AC,Wardrobe,TV,Sofa,Dining Table,BED","Sports Facility,Refrigerator,Wifi,Gas connection","1,117 sq ft","1","2","2 BHK Apartment ","814 sq ft","West","5, ","Kharadi","Resale","1","Corner, Garden View, Pool View, Road View","Freehold","","7300000","₹ 6,535/ sq ft ","Vijaydeep Deccan Gold","10 feet","Ready to move,Semi-Furnished","10"
"dict","3 rooms( study room, servant room, pooja room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Wifi,Microwave,Dining Table,Gas connection,BED","","847 sq ft","2","2","2 BHK Apartment ","","North","1, ","Keshav Nagar","New","2","Corner, Garden View, Pool View, Road View","Freehold","Apr 2019","7500000","₹ 8,854/ sq ft ","Builder Godrej Infinity","","Under Construction","24"
"dict","","10 years","Lift Available,24 X 7 Security,Landscaped Gardens,Wardrobe,Sofa,Dining Table,BED","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,TV,Refrigerator,Wifi,Gas connection","610 sq ft","1","1","1 BHK Apartment ","500 sq ft","East","5, ","Warje","Resale","1","Garden View","Freehold","","5000000","₹ 8,196/ sq ft ","Builder Kamalnayanam Apartment","98 feet","Ready to move,Semi-Furnished","7"
"dict","1 rooms( study room )","4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,School,Hospital,ATM,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,500 sq ft","4","3","3 BHK Apartment ","1300 sq ft","East","12, ","Wakad","Resale","3","Corner, Garden View, Pool View, Road View","Freehold","","10000000","₹ 6,666/ sq ft ","Karan Madhupushpa","40 feet","Ready to move,Unfurnished","12"
"dict","","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,150 sq ft","","","2 BHK Apartment ","","","Gr","Viman Nagar","New","","","","","6670000","₹ 5,800/ sq ft ","Lalwani Vastu","","Ready to move",""
"dict","","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,320 sq ft","","","3 BHK Apartment ","","","Gr","Viman Nagar","New","","","","","8301480","₹ 6,289/ sq ft ","Lalwani Vastu","","Ready to move",""
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,089 sq ft","","","2 BHK Apartment ","","","Gr","Wagholi","New","","","","","4682700","₹ 4,300/ sq ft ","Gulmohar Primrose","","Ready to move",""
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Intercom,Staff Quarter,Shopping Mall,School,Hospital,ATM","Club House,Sports Facility,Landscaped Gardens","614 sq ft","","","1 BHK Apartment ","","","Gr","Viman Nagar","New","","","","","3684000","₹ 6,000/ sq ft ","Sudhir Armaan","","Ready to move",""
"dict","1 rooms( study room )","1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting","Sports Facility,Landscaped Gardens","1,611 sq ft","","3","3 BHK Apartment ","983 sq ft","East","5, ","Bavdhan","New","2","Corner, Garden View, Pool View, Road View","Freehold","","10000000","₹ 6,207/ sq ft ","Rohan Ishan","","Ready to move","12"
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","1,032 sq ft","1","2","2 BHK Apartment ","","East","8, ","Hinjewadi","New","3","Corner, Garden View, Pool View, Road View","Freehold","","4500000","₹ 4,360/ sq ft ","Kolte Patil Life Republic","100 feet","Ready to move","24"
"dict","","2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Jogging Track,Shopping Mall,School,Hospital,ATM","Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","950 sq ft","2","2","2 BHK Apartment ","660 sq ft","","3, ","Kaspate Vasti","Resale","3","Road View, Corner","Co-Operative Society","","6000000","₹ 6,315/ sq ft ","","100 feet","Ready to move,Unfurnished","7"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,474 sq ft","1","3","3 BHK Apartment ","890 sq ft","East","3, ","Wagholi","New","","","","Dec 2019","6150000","₹ 4,172/ sq ft ","Gaurdian Hill Shire","","Under Construction","10"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Cafeteria,Rain Water Harvesting,Landscaped Gardens","","1,392 sq ft","2","3","3 BHK Apartment ","1070 sq ft","East","7, ","Bavdhan","New","2","Corner, Garden View, Pool View, Road View","Freehold","Dec 2018","9800000","₹ 7,040/ sq ft ","Puraniks Abitante","30 feet","Under Construction","15"
"dict","2 rooms( servant room, pooja room )","8 - 9 years","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,250 sq ft","3","2","2 BHK Apartment ","","East","8, ","Kalyani Nagar","Resale","1","Garden View, Pool View, Road View","Freehold","","8700000","₹ 6,960/ sq ft ","","","Ready to move,Unfurnished","9"
"dict","","6 - 7 years","Lift Available,Car Parking,24 X 7 Security,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,080 sq ft","","2","2 BHK Apartment ","","North","4","Kalyani Nagar","Resale","","","Freehold","","7500000","₹ 6,944/ sq ft ","Sanjay Kalyani Nagar","","Ready to move,Unfurnished",""
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Jogging Track,Maintenance Staff,Rain Water Harvesting,Landscaped Gardens","Club House,Gymnasium,Swimming Pool,Sports Facility","1,208 sq ft","","2","2 BHK Apartment ","","North","4","Kharadi","New","","","Freehold","","5194400","₹ 4,300/ sq ft ","Aarav Castles","","Ready to move",""
"dict","2 rooms( servant room, pooja room )","12 - 13 years","Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Wifi,Gas connection","5,840 sq ft","1","4","4 BHK Apartment ","","East","7, ","Boat Club Road","Resale","1","Pool View, Garden View","Freehold","","70000000","₹ 11,986/ sq ft ","","","Ready to move,Semi-Furnished","12"
"dict","","5 years","Car Parking,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Multipurpose Room","Lift Available,24 X 7 Security,Sports Facility,Landscaped Gardens","968 sq ft","1","2","2 BHK Apartment ","","West","4, ","Viman Nagar","Resale","4","","","","10000000","₹ 10,330/ sq ft ","Rohan Mithila","50 feet","Ready to move,Unfurnished","8"
"dict","","2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Sports Facility","1,292 sq ft","1","2","2 BHK Apartment ","","West","2, ","Viman Nagar","Resale","1","Corner, Garden View, Pool View, Road View","Freehold","","9800000","₹ 7,585/ sq ft ","Rohan Mithila","10 feet","Ready to move,Unfurnished","12"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,School,Hospital","Swimming Pool","663 sq ft","1","1","1 BHK Apartment ","434 sq ft","West","4, ","Wagholi","New","1","Road View","Co-Operative Society","Dec 2018","2898722","₹ 4,372/ sq ft ","Samrat Green Republic","19 feet","Under Construction","12"
"dict","","8 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,550 sq ft","3","3","3 BHK Apartment ","1300 sq ft","South","1, ","Kharadi","Resale","2","Corner, Garden View, Pool View, Road View","Freehold","","8400000","₹ 5,419/ sq ft ","Goel Ganga Constella","20 feet","Ready to move,Unfurnished","8"
"dict","","1 year","","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","525 sq ft","1","1","1 BHK Independent Floor ","","","3, ","Pimple Gurav","New","","","","","2500000","₹ 4,761/ sq ft ","","","Ready to move","3"
"dict","","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Intercom,Staff Quarter,Shopping Mall,School,Hospital,ATM","Club House,Sports Facility,Landscaped Gardens","1,609 sq ft","","","3 BHK Apartment ","","","Gr","Viman Nagar","New","","","","","9654000","₹ 6,000/ sq ft ","Sudhir Armaan","","Ready to move",""
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","3,147 sq ft","","","4 BHK Apartment ","","","Gr","Kalyani Nagar","New","","","","","34617000","₹ 11,000/ sq ft ","Searock 10 North","","Ready to move",""
"dict","","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","3,200 sq ft","","","4 BHK Apartment ","","","Gr","Kalyani Nagar","New","","","","","35200000","₹ 11,000/ sq ft ","Searock 10 North","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,075 sq ft","","","2 BHK Apartment ","","","Gr","Kharadi","New","","","","","5912500","₹ 5,500/ sq ft ","VTP Urban Soul","","Ready to move",""
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,032 sq ft","","","2 BHK Apartment ","","","Gr","Kharadi","New","","","","","5366400","₹ 5,200/ sq ft ","Geras Park View","","Ready to move",""
"dict","","10 - 11 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","935 sq ft","","","2 BHK Apartment ","","","Gr","Viman Nagar","New","","","","","5423000","₹ 5,800/ sq ft ","Lalwani Vastu","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,576 sq ft","","","2 BHK Apartment ","","","Gr","Kharadi","New","","","","","10244000","₹ 6,500/ sq ft ","Darode Liviano","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,684 sq ft","","","3 BHK Apartment ","","","Gr","Kharadi","New","","","","","10946000","₹ 6,500/ sq ft ","Darode Liviano","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","2,189 sq ft","","","3 BHK Apartment ","","","Gr","Kharadi","New","","","","","14228500","₹ 6,500/ sq ft ","Darode Liviano","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","2,195 sq ft","","","3 BHK Apartment ","","","Gr","Kharadi","New","","","","","14267500","₹ 6,500/ sq ft ","Darode Liviano","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","2,218 sq ft","","","4 BHK Apartment ","","","Gr","Kharadi","New","","","","","14417000","₹ 6,500/ sq ft ","Darode Liviano","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,380 sq ft","","","2 BHK Apartment ","","","Gr","Kharadi","New","","","","","8970000","₹ 6,500/ sq ft ","Darode Liviano","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,576 sq ft","","","2 BHK Apartment ","","","Gr","Kharadi","New","","","","","10244000","₹ 6,500/ sq ft ","Darode Liviano","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,580 sq ft","","","2 BHK Apartment ","","","Gr","Kharadi","New","","","","","10270000","₹ 6,500/ sq ft ","Darode Liviano","","Ready to move",""
"dict","1 rooms( study room )","10 years","Lift Available,Car Parking,Power Backup,Landscaped Gardens,Wardrobe,BED","24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","700 sq ft","1","1","2 BHK Apartment ","560 sq ft","North","2, ","Dhayari","Resale","2","","","","4200000","₹ 6,000/ sq ft ","Builder Yashashree Chandralok Nagari","80 feet","Ready to move,Furnished","6"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","2,218 sq ft","","","4 BHK Apartment ","","","Gr","Kharadi","New","","","","","14417000","₹ 6,500/ sq ft ","Darode Liviano","","Ready to move",""
"dict","","5 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,School,Hospital,ATM,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Wifi,BED","AC,Dining Table,Gas connection","730 sq ft","1","2","2 BHK Apartment ","685 sq ft","North","6, ","Hadapsar","Resale","3","Garden View","Freehold","","4000000","₹ 5,479/ sq ft ","AV Etasha","80 feet","Ready to move,Furnished","9"
"dict","1 rooms( servant room )","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,ATM","Sports Facility","2,242 sq ft","","4","3 BHK Apartment ","","East","12, ","Baner","New","3","Corner, Garden View, Pool View, Road View","Freehold","Dec 2018","14000000","₹ 6,244/ sq ft ","Kalpataru Jade Residences","100 feet","Under Construction","22"
"dict","","6 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,Hospital,ATM","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,206 sq ft","","2","2 BHK Apartment ","","","3, ","Wakad","Resale","","Garden View","","","7300000","₹ 6,053/ sq ft ","Vilas Javdekar Palash Plus","","Ready to move,Semi-Furnished","11"
"dict","","5 - 6 years","Car Parking,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,500 sq ft","2","3","3 BHK Apartment ","","East","4, ","Viman Nagar","Resale","","Pool View, Garden View","Freehold","","21500000","₹ 8,600/ sq ft ","Rohan Parijat","","Ready to move,Semi-Furnished","7"
"dict","2 rooms( study room, pooja room )","3 - 4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","850 sq ft","1","2","2 BHK Apartment ","","North","1, ","Wagholi","New","1","Pool View, Garden View","Freehold","","3900000","₹ 4,588/ sq ft ","Goyal Shree Ganesh Residency","","Ready to move","8"
"dict","","1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","567 sq ft","1","1","1 BHK Apartment ","436 sq ft","North","4, ","Ambegaon Bk","Resale","2","Road View, Garden View","Freehold","","2237812","₹ 3,946/ sq ft ","","","Ready to move,Unfurnished","5"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens","","1,327 sq ft","","3","3 BHK Apartment ","870 sq ft","East","2, ","Mahalunge","New","1","Garden View, Pool View, Road View","Freehold","Dec 2018","9500000","₹ 7,159/ sq ft ","Sanskruti Jardin","35 feet","Under Construction","11"
"dict","","","Car Parking,24 X 7 Security,Swimming Pool,Landscaped Gardens","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","1,011 sq ft","2","2","2 BHK Apartment ","767 sq ft","","","Keshav Nagar","New","","Garden View, Pool View, Road View","Freehold","Sep 2018","6500000","₹ 6,429/ sq ft ","","","Under Construction",""
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,ATM","","548 sq ft","1","1","1 BHK Apartment ","","","6, ","Pirangut","New","","","","","2650000","₹ 4,835/ sq ft ","Calyx Majestique and K Developers Vanalika Apartments","","Ready to move","12"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","","1,027 sq ft","","2","2 BHK Apartment ","","West","8, ","Balewadi","Resale","2","Corner, Garden View, Pool View","Freehold","","7000000","₹ 6,815/ sq ft ","Sharada Paritosh","80 feet","Ready to move,Unfurnished","15"
"dict","","","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens","","2,390 sq ft","1","4","4 BHK Apartment ","1819 sq ft","East","3, ","Tathawade","New","1","Garden View, Pool View, Road View","Freehold","Jun 2019","16100000","₹ 6,736/ sq ft ","Bhandari 7 Plumeria Drive","40 feet","Under Construction","21"
"dict","1 rooms( servant room )","4 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM,Gas connection","Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,735 sq ft","1","3","3 BHK Apartment ","","NorthEast","6","Baner","Resale","2","Garden View, Pool View, Road View","Freehold","","22500000","₹ 12,968/ sq ft ","Mittal Crosswinds","100 feet","Ready to move,Unfurnished",""
"dict","1 rooms( study room )","0 - 1 year","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Sports Facility,Indoor Games,Jogging Track,Rain Water Harvesting,Landscaped Gardens","Swimming Pool","905 sq ft","1","2","2 BHK Apartment ","776 sq ft","East","10, ","Wagholi","New","1","Road View, Garden View","Freehold","","3500000","₹ 3,867/ sq ft ","Avnee And Veda Associates Optima Heights B Building","100 feet","Ready to move","12"
"dict","","8 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,080 sq ft","2","2","2 BHK Apartment ","","East","2, ","Aundh","Resale","2","Road View","Co-Operative Society","","8500000","₹ 7,870/ sq ft ","Builder Shreeji Paradise Aundh","50 feet","Ready to move,Unfurnished","7"
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,684 sq ft","","","3 BHK Apartment ","","","Gr","Kharadi","New","","","","","10104000","₹ 6,000/ sq ft ","Darode Liviano","","Ready to move",""
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,084 sq ft","","","2 BHK Apartment ","","","Gr","Wagholi","New","","","","","4552800","₹ 4,200/ sq ft ","Gulmohar Primrose","","Ready to move",""
"dict","","2 - 3 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","1,305 sq ft","","","3 BHK Apartment ","","","Gr","Wagholi","New","","","","","5481000","₹ 4,200/ sq ft ","Gulmohar Primrose","","Ready to move",""
"dict","","1 - 2 years","Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility","1,090 sq ft","","","2 BHK Apartment ","","","Gr","Kharadi","New","","","","","5995000","₹ 5,500/ sq ft ","VTP Urban Soul","","Ready to move",""
"dict","1 rooms( study room )","8 years","Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Intercom,Rain Water Harvesting,Landscaped Gardens,Wardrobe","Lift Available,Jogging Track,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,850 sq ft","3","3","3 BHK Villa ","1800 sq ft","NorthEast","","Wakad","Resale","3","Corner, Garden View, Pool View","Co-Operative Society","","21500000","₹ 7,543/ sq ft ","Mont Vert Tranquille","50 feet","Ready to move,Semi-Furnished","1"
